tier,division,summonerName
BRONZE,I,cXHz40yhSJpz51PpMDHaHNMVdzyBOdy2YJPu0NAx_cSsuWaR_90QWRzaPLhvJGqo--Z9rrCLbEaAYw
BRONZE,I,UGFPnvqLzvNvg1SE4cNXO6gl_JHfpaiS4CZSIhYzpmPbI7_hTftY7dCIZCcAAPF3R5U6UoAb9Eu2Fg
BRONZE,I,_BHiC26ScyJ6MjrKvqB6Vk6KcqGWoVoQFrhqRuHDewDxG8ic2rz4hr5l-3naaFL-Zmh3QuFRFijpqA
BRONZE,I,2XNa99Im_fMENCn_F2fugurVFJUV7B-83MpK-sqPFemMcFQnF2TmaCS_BQxYTp-2Cuqrzn91L6jjNA
BRONZE,I,m2LhnLHhPBLdRN_r95AMCwC_W1hiHLKg_4gCOM3poytypj2uz2J4imI_2HRrbBUgkRvjYIK_X-I2rw
BRONZE,I,8jtHjPjh5-x76PtPwWAJ0-PSZhPDckgE5is4m1WrJMQGuCfg5SfQowanLoMSOQnusmQCL3fBn6tCjw
BRONZE,I,oCQD6lypA1vapOg_Vdy4tHOlnIu-V2374rrQQ8sr9-VhN5VG3djAwuXHrIFfvncF66GX0ODRK584yQ
BRONZE,I,5PGz0smDkPnWzruS9QR1vDoZq5BGeFdB2kVmyLB0QbbasJ2O5TB0KusrshmqCHjK21tE3ebXTNy0aw
BRONZE,I,K3LF7_7-AaEJ_4XcOg9rZeBk7FlxhWSF_d3FP_bJqOXYMRlJY4J9HlaMGeCwL6ds0TumMR142kr7-A
BRONZE,I,PuGiQZiEVQVCZdLbS57eMjkRb1W9GqsKekwsz5RmjGcmYu7m4nXgQOFJJ8BBQ6bwhpErQjyQ47arng
BRONZE,I,QF-9iSdS7WeUJlppJJXl_8pgwmEGdN5VmsF3M4xbvQV5qJWDb0Jy7QYoqQ6j8QrlPN_f2OzS_YZ_YA
BRONZE,I,q4VxYzjmPtPZBpM0Z0wZKsUTHFl_DXO4FumhXZAVyWCkrqwiPo2NDMf5FkQAgKkO7E7jQ5unUK5_JQ
BRONZE,I,Pu8goJOzfATZmPkh_oHYo7KKd1ebfEr8pDdBQa-KT5HvZCbjXGYX4nzZDJ4AzE38K0pVdP_lUt5nSA
BRONZE,I,Sfl4dISdtNqAL6e0IVSKrK5JWfgluznRa3sQOnp96ZGBDyryqTcypSeIwsG0XEt7FInT2MMro-HdzA
BRONZE,I,fKyzo7Z6efvr956bwDHwY7IDHYDbFSEhSBhgjQyXK5ODxEYFzMY7QDpVxH2SQQqVBzN2DgbwVI1IEw
BRONZE,I,uwY3BB15xXDXV-ismRnK71Up0mZ3RLMn33uLumtKUxMSLmejUA-ooanzYIjufC4PLVVCMbvy5UEQvQ
BRONZE,I,Eczy6hL3SUXfRIKqMtYHt35Yr4vXc_8gHYR03KIXE5jXFK1rlnb0ShXuOq2XtLQjPHbesw10---RPg
BRONZE,I,3nrLU6jbWnsPC9dYii9pXmChdb05mLxHeMKT9edeGudTb_nFAudlrmTbnBWiG3tnn_M2i0AiOi9riQ
BRONZE,I,yiTieN58Ihs0xBACr_5FciGSIShnCbuFrpk1GF9bK-SGVDiNK1CSUEmE8vzPYsM4LOqbgwjmEYIjOg
BRONZE,I,wvSDZKk8POIZ1vBIn5SA91QVRJsmUjgZz9DxRBCrFb9pycXlk1d3UhXoOpYtuUtJFk_hVFosnMcQEw
BRONZE,I,hIdOHR3SQ5Da6V_fcwLxUtRz6VJr4bWcu_5O7Gp7GDuJvkqjvzaYW_7vCbR2hj7xwfqa6nBJOwVHwA
BRONZE,I,oFL-uwXQo8VO-pkNATz-jHw2joFshVeyq8DhtIiu2aLTt-ZCSW8AmcvrhltE40loxt2sejp8sNiyfA
