tier,division,summonerName
GOLD,II,El Hopaness
GOLD,II,PØLLE
GOLD,II,20 bullet
GOLD,II,STAY MAD KID
GOLD,II,NaaFearMé
GOLD,II,Orèo Chán
GOLD,II,Blaze419
GOLD,II,Pasdeboldutout
GOLD,II,r6d9
GOLD,II,PikaFanboy
GOLD,II,kleinenoppe
GOLD,II,mast air bander
GOLD,II,Wooflash
GOLD,II,Nightbringah
GOLD,II,enimα
GOLD,II,DerSchöneLange
GOLD,II,bwhl
GOLD,II,IIIlIllllIIIlI
GOLD,II,Caarry Potter
GOLD,II,AlwaysFool
GOLD,II,KasperSomLurar
GOLD,II,AllTheCuddles
GOLD,II,Felartiste
GOLD,II,goncalovt
GOLD,II,Natúral
GOLD,II,kåtåpult
GOLD,II,The Great BM
GOLD,II,Bill The GoD
GOLD,II,Claypro
GOLD,II,CrimpLife
GOLD,II,EB Eca
GOLD,II,Engineer Erwin
GOLD,II,Battata
GOLD,II,xX Bib7 Xx
GOLD,II,AnaC21
GOLD,II,Waffledore
GOLD,II,rapia13
GOLD,II,bacon tits
GOLD,II,EffectivelyAFK
GOLD,II,the legue of pro
GOLD,II,Young Gunman
GOLD,II,Princess Savior
GOLD,II,Dit4IstheBest
GOLD,II,AdKennenMain
GOLD,II,danichuly
GOLD,II,Shkilita
GOLD,II,Knurts
GOLD,II,Lèê Sin
GOLD,II,Partuxd
GOLD,II,WypreinFM
GOLD,II,MagicJuli
GOLD,II,Tooffee
GOLD,II,KubikMeta
GOLD,II,S T Y L 1 N G
GOLD,II,Emmes
GOLD,II,lev1278
GOLD,II,Dango6666
GOLD,II,floyd barclay
GOLD,II,almomua
GOLD,II,blunt mind
GOLD,II,LifeIsSuper
GOLD,II,Tomlabooo
GOLD,II,DragonSlayerXx55
GOLD,II,Little Morty
GOLD,II,suicidgefährdet
GOLD,II,I ProVenT
GOLD,II,AndryL3L
GOLD,II,Taijiri
GOLD,II,ChiappeDiToro
GOLD,II,SimsonM
GOLD,II,Kaneki Cami
GOLD,II,Mitotzu
GOLD,II,biko tjeuhh
GOLD,II,Joueur de Vayne
GOLD,II,xNatzDichWeg
GOLD,II,LyncFTW2
GOLD,II,swizro
GOLD,II,Bælfeit Malphite
GOLD,II,AreY0uCertain
GOLD,II,Thougaard
GOLD,II,shaolyn1
GOLD,II,Wogelf
GOLD,II,KAPPA TO CHAT
GOLD,II,Vulpes Luna
GOLD,II,FrankM99
GOLD,II,MyNameIsRoller
GOLD,II,Ρolξβ
GOLD,II,HacKKo V1
GOLD,II,Berry Dillon
GOLD,II,eleloi
GOLD,II,The JACKDAW
GOLD,II,FloKo
GOLD,II,megastor95
GOLD,II,LegendenProfiler
GOLD,II,Patar Ster
GOLD,II,Waγze
GOLD,II,A  M  T  IR
GOLD,II,byadrirex
GOLD,II,xP4bl0
GOLD,II,BigKlausGrillt
GOLD,II,Raiju Boa
GOLD,II,Mømongaa
GOLD,II,Neko Lia Chân
GOLD,II,SpaceSiX
GOLD,II,SSE Bila Chinezu
GOLD,II,Heldni
GOLD,II,Ronaldo Do Penta
GOLD,II,Aenry
GOLD,II,frozenlamagume2
GOLD,II,Mušu Žmona
GOLD,II,Powderful Kills
GOLD,II,diamond cleaver
GOLD,II,LILOTTE UwU
GOLD,II,l Zhong Xina l
GOLD,II,IchbinMagier
GOLD,II,tracteurnormands
GOLD,II,mad eleven
GOLD,II,Paarbahnfahrn
GOLD,II,SpeedyKillero
GOLD,II,Maxbin100
GOLD,II,Level 13 Crook
GOLD,II,Oh my Budha
GOLD,II,hajdalmon
GOLD,II,its Hauru
GOLD,II,Rell Label
GOLD,II,Kuinnq
GOLD,II,elokodelamente
GOLD,II,Vøid Potato
GOLD,II,Miss Kali
GOLD,II,Im not Pablo
GOLD,II,TsunaGo
GOLD,II,ItsGRISELDA
GOLD,II,TotaninWarf
GOLD,II,LittleWitchie
GOLD,II,Woolv3z
GOLD,II,F a s t B o ï
GOLD,II,Alex578b
GOLD,II,Nahbruh
GOLD,II,Katushii
GOLD,II,Indomitable22
GOLD,II,fylgja02
GOLD,II,cylcredau
GOLD,II,Maitre Pingouin
GOLD,II,Batte du Noir
GOLD,II,Rampagecrxsh
GOLD,II,BECKHXM
GOLD,II,shura225
GOLD,II,BiggusDickuss
GOLD,II,MòrganFreegank
GOLD,II,Ricz
GOLD,II,SHEIKH SISOK
GOLD,II,PsychoFaizen
GOLD,II,dank scope 123
GOLD,II,Chubbez
GOLD,II,Shard Toxicity
GOLD,II,Ermes03
GOLD,II,PinkSamurai23
GOLD,II,KuKIux Clone
GOLD,II,Velzorx
GOLD,II,guardfiora
GOLD,II,ZLT14G0
GOLD,II,xXFeathersFlyXx
GOLD,II,Lashientax
GOLD,II,toxiyco
GOLD,II,R4RR
GOLD,II,Luca Pezzullo
GOLD,II,Corkouille
GOLD,II,My Pyke go 420
GOLD,II,Istarties
GOLD,II,THOTgrandmagus
GOLD,II,JDG judgedbykira
GOLD,II,EXODUS3223
GOLD,II,LuNeRiNo
GOLD,II,Foxray
GOLD,II,ĄÐÇ
GOLD,II,Unseen Reaper
GOLD,II,TeamWinner
GOLD,II,Uncle Bard
GOLD,II,Ω thauma
GOLD,II,Art Denier
GOLD,II,Tokubayung
GOLD,II,Crusader1
GOLD,II,KiviKiru
GOLD,II,Boorkamaista
GOLD,II,Reâl
GOLD,II,Čhěrrý
GOLD,II,DW RockStarZ
GOLD,II,Dzoh
GOLD,II,Elhio
GOLD,II,Tyscymon
GOLD,II,FLASH4SHOOT
GOLD,II,Absolute17
GOLD,II,Mogio02
GOLD,II,Crixus Decimus
GOLD,II,MrhPlay
GOLD,II,FaerysS
GOLD,II,Lascivious Grace
GOLD,II,SiroxJohnno
GOLD,II,BiggKahunaBurger
GOLD,II,Mishake
GOLD,II,Chateau 4
GOLD,II,Minirambo37
GOLD,II,Adelantess
GOLD,II,Mjolnir Mark IV
GOLD,II,Chrissy5683
GOLD,II,BJ0RG0S
GOLD,II,JeyΚey
GOLD,II,SlashAirWays
GOLD,II,Shinigami Broken
GOLD,II,Michael Fortune
GOLD,II,Faker v2
GOLD,II,Wölfy
GOLD,II,Luzy03
GOLD,II,BullHunter7
GOLD,II,Scøupy
GOLD,II,Kiffer Klaus
GOLD,II,Haariger Hubert
GOLD,II,FranDavila
GOLD,II,Raynorr55ad
GOLD,II,Evelith
GOLD,II,Hi Im Borak
GOLD,II,t0m21k
GOLD,II,Łðve
GOLD,II,checky93
GOLD,II,smigolpt22
GOLD,II,NuncaMainYasuo
GOLD,II,XeNoDriix
GOLD,III,Vukooo
GOLD,III,xCadlucca
GOLD,III,erfank
GOLD,III,GodSkomis
GOLD,III,axeltjuuh
GOLD,III,7OMAR
GOLD,III,Justain Greedoux
GOLD,III,MoccaBeroSanchez
GOLD,III,TMB Mawza
GOLD,III,ım master a plyr
GOLD,III,DavidAgar
GOLD,III,Tahm Heir
GOLD,III,zorrita vasca
GOLD,III,Alwinster14
GOLD,III,ArenaCloser
GOLD,III,Tixkster
GOLD,III,Journey Zed
