frameNumber,participantId,x,y,totalGold,totalDamageToChampions,safetyStatus
19,10,11825,3498,4138,0,100
20,1,3643,10915,6563,0,0
20,2,7950,5720,6875,0,100
20,3,5582,5730,6324,0,0
20,4,9822,3358,6087,0,100
20,5,11264,1537,4906,0,100
20,6,3320,12113,5886,0,100
20,7,11776,6906,7740,0,0
20,8,7149,6834,6500,0,100
20,9,12758,2335,5234,0,100
20,10,12479,1808,4380,0,100
21,1,1275,10958,6802,0,0
21,2,1875,625,7317,0,0
21,3,11742,2817,6751,0,100
21,4,10430,1490,6267,0,100
21,5,6115,1173,5059,0,0
21,6,3245,13209,6087,0,100
21,7,8678,2509,7862,0,100
21,8,12855,12179,6622,0,0
21,9,11139,1259,5586,0,100
21,10,11169,1188,4553,0,100
22,1,7700,13478,7613,0,100
22,2,11469,1644,7810,0,100
22,3,1360,1289,7099,0,0
22,4,5632,1116,6547,0,0
22,5,5119,1547,5261,0,0
22,6,12025,14037,7293,0,0
22,7,14230,14184,8949,0,0
22,8,6149,6691,7298,0,100
22,9,10281,2639,6509,0,100
22,10,12432,10688,5006,0,0
23,1,1177,7182,8545,0,0
23,2,8462,7799,8657,0,100
23,3,8507,7398,7919,0,100
23,4,8570,7381,7448,0,100
23,5,8385,7577,5586,0,100
23,6,888,10697,7704,0,100
23,7,9537,5506,9071,0,100
23,8,8572,8109,7484,0,100
23,9,9610,5452,6631,0,100
23,10,8680,6775,5158,0,100
24,1,3774,10968,8890,0,100
24,2,6266,12752,8813,0,100
24,3,5402,8671,8122,0,100
24,4,7529,13823,7688,0,100
24,5,7573,13596,5739,0,100
24,6,4323,11766,8012,0,100
24,7,4715,12317,9821,0,100
24,8,5397,12473,7606,0,100
24,9,6307,12722,7513,0,100
24,10,4451,12068,5461,0,100
25,1,4273,10043,9169,0,100
25,2,5007,9228,10110,0,100
25,3,4626,9536,8528,0,100
25,4,4357,9721,8130,0,100
25,5,4649,10491,6347,0,100
25,6,4190,9965,8489,0,100
25,7,5154,9477,10449,0,100
25,8,4814,10012,8029,0,100
25,9,4460,10067,8286,0,100
25,10,4805,9660,5963,0,100
26,1,1725,9818,9341,0,0
26,2,13603,4269,11188,0,100
26,3,7595,7497,8785,0,100
26,4,4801,10420,8522,0,100
26,5,2598,12336,6550,0,100
26,6,8792,11495,8611,0,100
26,7,10532,6330,10571,0,0
26,8,8645,8281,8290,0,100
26,9,8989,8683,8422,0,100
26,10,9942,8763,6115,0,0
27,1,4596,9530,10202,0,100
27,2,1176,1771,11353,0,0
27,3,4954,9609,8957,0,100
27,4,4661,9416,9029,0,100
27,5,5944,8994,6917,0,100
27,6,4632,9564,8959,0,100
27,7,5672,9180,11783,0,100
27,8,4920,9304,8867,0,100
27,9,5841,9195,9258,0,100
27,10,5031,9020,6268,0,100
28,1,5313,1634,10326,0,0
28,2,9283,5591,12647,0,100
28,3,7369,6965,9122,0,100
28,4,8693,5423,9152,0,100
28,5,9881,5722,7071,0,100
28,6,11494,3659,9120,0,100
28,7,10635,6238,11944,0,100
28,8,12495,3244,9041,0,100
28,9,7366,7476,9828,0,100
28,10,8610,5941,6480,0,100
29,1,10230,2614,10903,0,0
29,2,9849,4988,12779,0,100
29,3,7534,5137,10341,0,100
29,4,10544,4941,10174,0,100
29,5,10034,4862,7423,0,100
29,6,9947,5009,9747,0,100
29,7,9922,5071,12271,0,100
29,8,9973,4915,9514,0,100
29,9,9065,5741,9950,0,100
29,10,10297,5000,6732,0,100
30,1,13696,7546,11427,0,100
30,2,2481,9436,13136,0,100
30,3,8262,8353,10551,0,100
30,4,7398,10169,10996,0,100
30,5,8216,8238,7601,0,100
30,6,5632,13633,9869,0,100
30,7,7024,11256,12394,0,100
30,8,9536,8357,9740,0,100
30,9,12159,8563,10087,0,100
30,10,13337,8796,6899,0,0
31,1,1521,6230,11550,0,100
31,2,1886,9471,13380,0,100
31,3,2603,7433,10798,0,100
31,4,1975,7575,11146,0,100
31,5,1976,7641,7793,0,100
31,6,2068,7654,10773,0,100
31,7,1771,7255,13039,0,100
31,8,7217,9704,10189,0,100
31,9,11345,1630,10583,0,100
31,10,10988,1454,7182,0,100
32,1,3605,13277,12783,0,100
32,2,9276,6611,13917,0,100
32,3,8490,8154,11581,0,100
32,4,3298,1025,11718,0,0
32,5,863,506,8341,0,0
32,6,14340,14391,10896,0,0
32,7,12370,10452,13161,0,0
32,8,9052,9915,10333,0,100
32,9,11022,11106,10976,0,0
32,10,14340,14391,7349,0,0
33,1,8778,13281,13914,0,100
33,2,11310,6908,14155,0,100
33,3,10762,6404,11792,0,100
33,4,6815,4603,12225,0,100
33,5,6798,5230,8518,0,100
33,6,10200,13168,11168,0,0
33,7,10111,5698,13838,0,100
33,8,9207,13370,10985,0,100
33,9,8635,13285,11259,0,100
33,10,10042,13349,7501,0,0
34,1,394,461,14036,0,0
34,2,9906,5073,14702,0,100
34,3,9481,5483,12088,0,100
34,4,7617,13541,12546,0,100
34,5,7162,13387,8671,0,100
34,6,9737,6288,11825,0,100
34,7,9942,5058,14006,0,100
34,8,12174,9209,12316,0,100
34,9,10070,7171,11499,0,100
34,10,10046,6533,7803,0,100
35,1,12631,6176,14369,0,100
35,2,12023,7467,15149,0,100
35,3,8910,5526,12561,0,100
35,4,10286,10734,12955,0,100
35,5,10139,10455,8958,0,100
35,6,12312,12051,11948,0,0
35,7,14250,14286,14128,0,0
35,8,11248,11038,12558,0,0
35,9,13489,8022,12164,0,100
35,10,11511,10587,8106,0,0
36,1,13683,8190,14965,0,100
36,2,12660,4426,15627,0,100
36,3,12290,4769,12736,0,100
36,4,9952,13507,13429,0,100
36,5,10371,13248,9110,0,100
36,6,13441,7709,12465,0,100
36,7,13221,7418,14612,0,100
36,8,10961,10474,12826,0,0
36,9,13511,8141,12522,0,100
36,10,13475,8348,8272,0,100
37,1,4471,4543,15087,0,0
37,2,9872,8751,15978,0,100
37,3,11486,6413,13086,0,100
37,4,11816,7091,13752,0,100
37,5,11129,7535,9263,0,100
37,6,13151,7425,12747,0,100
37,7,13288,7741,14735,0,100
37,8,8444,13409,13234,0,100
37,9,13197,7271,12644,0,100
37,10,9971,14037,8424,0,0
38,1,11215,11418,15820,0,100
38,2,9822,13591,16883,0,100
38,3,8710,8590,13268,0,100
38,4,7549,13751,14662,0,100
38,5,9342,13301,9665,0,100
38,6,10056,13736,13049,0,0
38,7,8438,13782,15732,0,100
38,8,9844,13712,13967,0,0
38,9,10931,12874,12958,0,0
38,10,10010,13469,8666,0,0
39,1,13848,11138,17259,0,100
39,2,9028,8002,17055,0,100
39,3,7388,8618,13441,0,100
39,4,7911,10145,15583,0,100
39,5,6483,3196,10017,0,0
39,6,14145,14047,13217,0,0
39,7,14340,14391,15854,0,0
39,8,10876,11808,14427,0,0
39,9,13931,13593,13411,0,0
39,10,10995,13024,8864,0,0
40,1,13517,12927,17682,0,100
40,2,12768,12973,19175,0,100
40,3,13039,12296,14058,0,100
40,4,11079,10603,16289,0,100
40,5,10506,10347,10675,0,100
40,6,9960,4796,13339,0,100
40,7,9834,4644,15977,0,100
40,8,13153,12839,14577,0,0
40,9,11438,4593,13534,0,100
40,10,12380,12196,9100,0,0
41,1,13062,12904,17772,0,100
41,2,12830,12931,19511,0,100
41,3,13118,12368,14186,0,100
41,4,11993,11336,16304,0,100
41,5,10977,11262,10694,0,100
41,6,9960,4796,13354,0,100
41,7,9834,4644,15992,0,100
41,8,13072,12906,14703,0,0
41,9,11438,4593,13549,0,100
41,10,12380,12196,9119,0,0
